,Key,Value,id
115454,pre_4_end_5,1.55502,442
115455,pre_4_end_4,2.01555,442
115456,pre_5_end_6,0.701014,442
115457,pre_5_end_5,1.55502,442
115458,pre_6_end_6,0.701014,442
115459,average_path_length,4.15789,442
115460,redundancy,7.0,442
115461,traversal_steps,19.0,442
115462,tree_skewness,-7.0,442
115463,skewness,0.0,442
115464,density,0.037182,442
115465,symbol_entropy,1.95144,442
115466,layer_average_derivation_entropy,0.0,442
115467,path_average_derivation_entropy,1.34348,442
115468,layer_average_symbol_entropy,0.0,442
115469,path_average_symbol_entropy,1.30377,442
115470,average_layer_symbol_skewness,0.244165,442
115471,average_layer_derivation_skewness,0.707106,442
115472,average_layer_symbol_KL_divergence,0.0394202,442
115473,average_layer_derivation_KL_divergence,-0.008715,442
1449253,derivation_entropy,1.74807,5255
1449254,word_entropy,1.03972,5255
1449255,word_delay_1_mutual_entropy,1.09861,5255
1449256,word_delay_2_mutual_entropy,0.693147,5255
1449257,word_delay_3_mutual_entropy,0.0,5255
1449258,word_delay_4_mutual_entropy,0.0,5255
1449259,word_delay_5_mutual_entropy,0.0,5255
1449260,derivation_delay_1_mutual_entropy,1.21489,5255
1449261,derivation_delay_2_mutual_entropy,1.21301,5255
1449262,derivation_delay_3_mutual_entropy,1.27703,5255
1449263,derivation_delay_4_mutual_entropy,1.24245,5255
1449264,derivation_delay_5_mutual_entropy,0.950271,5255
1449265,word_delay_1_transitional_entropy,1.09861,5255
1449266,word_delay_2_transitional_entropy,0.693147,5255
1449267,word_delay_3_transitional_entropy,-0.0,5255
1449268,word_delay_4_transitional_entropy,-0.0,5255
1449269,word_delay_5_transitional_entropy,-0.0,5255
1449270,derivation_delay_1_transitional_entropy,2.19722,5255
1449271,derivation_delay_2_transitional_entropy,2.07944,5255
1449272,derivation_delay_3_transitional_entropy,1.94591,5255
1449273,derivation_delay_4_transitional_entropy,1.79176,5255
1449274,derivation_delay_5_transitional_entropy,1.60944,5255
1449275,word_delay_1_transfer_entropy,0.0,5255
1449276,word_delay_2_transfer_entropy,0.0,5255
1449277,word_delay_3_transfer_entropy,0.0,5255
1449278,word_delay_4_transfer_entropy,0.0,5255
1449279,word_delay_5_transfer_entropy,0.0,5255
1449280,derivation_delay_1_transfer_entropy,0.693147,5255
1449281,derivation_delay_2_transfer_entropy,0.470834,5255
1449282,derivation_delay_3_transfer_entropy,0.549306,5255
1449283,derivation_delay_4_transfer_entropy,0.659167,5255
1449284,derivation_delay_5_transfer_entropy,0.823959,5255
1449285,depth_of_tree,6.0,5255
1449286,1_layer_symbol_tree__entropy,2.36551,5255
1449287,2_layer_symbol_tree__entropy,2.62318,5255
1449288,3_layer_symbol_tree__entropy,3.66516,5255
1449289,4_layer_symbol_tree__entropy,5.7446,5255
1449290,5_layer_symbol_tree__entropy,9.21034,5255
1449291,1_layer_derivation_tree__entropy,1.25101,5255
1449292,2_layer_derivation_tree__entropy,1.43392,5255
1449293,3_layer_derivation_tree__entropy,1.77087,5255
1449294,4_layer_derivation_tree__entropy,2.4023,5255
1449295,5_layer_derivation_tree__entropy,6.43775,5255
1449296,pre_2_end_3,1.54929,5255
1449297,pre_2_end_2,2.26126,5255
1449298,pre_3_end_3,1.54929,5255
1449299,average_path_length,2.5,5255
1449300,redundancy,4.0,5255
1449301,traversal_steps,10.0,5255
1449302,tree_skewness,-4.0,5255
1449303,skewness,0.0,5255
1449304,density,0.15873,5255
1449305,symbol_entropy,1.8867,5255
1449306,layer_average_derivation_entropy,0.0,5255
1449307,path_average_derivation_entropy,1.29824,5255
1449308,layer_average_symbol_entropy,0.0,5255
1449309,path_average_symbol_entropy,1.24048,5255
1449310,average_layer_symbol_skewness,0.0,5255
1449311,average_layer_derivation_skewness,0.0,5255
1449312,average_layer_symbol_KL_divergence,0.0,5255
1449313,average_layer_derivation_KL_divergence,-0.0693147,5255
1453834,derivation_entropy,1.90609,5270
1453835,word_entropy,1.73287,5270
1453836,word_delay_1_mutual_entropy,1.54983,5270
1453837,word_delay_2_mutual_entropy,1.56071,5270
1453838,word_delay_3_mutual_entropy,1.33218,5270
1453839,word_delay_4_mutual_entropy,1.03972,5270
1453840,word_delay_5_mutual_entropy,1.09861,5270
1453841,derivation_delay_1_mutual_entropy,1.10137,5270
1453842,derivation_delay_2_mutual_entropy,1.25023,5270
1453843,derivation_delay_3_mutual_entropy,0.887596,5270
1453844,derivation_delay_4_mutual_entropy,1.16248,5270
1453845,derivation_delay_5_mutual_entropy,0.972902,5270
1453846,word_delay_1_transitional_entropy,1.94591,5270
1453847,word_delay_2_transitional_entropy,1.79176,5270
1453848,word_delay_3_transitional_entropy,1.60944,5270
1453849,word_delay_4_transitional_entropy,1.38629,5270
1453850,word_delay_5_transitional_entropy,1.09861,5270
1453851,derivation_delay_1_transitional_entropy,2.64844,5270
1453852,derivation_delay_2_transitional_entropy,2.42858,5270
1453853,derivation_delay_3_transitional_entropy,2.79851,5270
1453854,derivation_delay_4_transitional_entropy,2.58231,5270
1453855,derivation_delay_5_transitional_entropy,2.67012,5270
1453856,word_delay_1_transfer_entropy,0.231049,5270
1453857,word_delay_2_transfer_entropy,0.277259,5270
1453858,word_delay_3_transfer_entropy,0.346574,5270
1453859,word_delay_4_transfer_entropy,0.0,5270
1453860,word_delay_5_transfer_entropy,0.0,5270
1453861,derivation_delay_1_transfer_entropy,0.705781,5270
1453862,derivation_delay_2_transfer_entropy,0.324561,5270
1453863,derivation_delay_3_transfer_entropy,0.727673,5270
1453864,derivation_delay_4_transfer_entropy,0.587396,5270
1453865,derivation_delay_5_transfer_entropy,0.764692,5270
1453866,depth_of_tree,10.0,5270
1453867,1_layer_symbol_tree__entropy,2.19467,5270
1453868,2_layer_symbol_tree__entropy,1.92702,5270
1453869,3_layer_symbol_tree__entropy,1.85241,5270
1453870,4_layer_symbol_tree__entropy,2.15524,5270
1453871,5_layer_symbol_tree__entropy,2.69844,5270
1453872,1_layer_derivation_tree__entropy,0.73055,5270
1453873,2_layer_derivation_tree__entropy,0.71736,5270
1453874,3_layer_derivation_tree__entropy,0.747939,5270
1453875,4_layer_derivation_tree__entropy,0.885386,5270
1453876,5_layer_derivation_tree__entropy,1.16411,5270
1453877,pre_2_end_7,2.17294,5270
1453878,pre_2_end_6,2.26126,5270
1453879,pre_2_end_5,1.92095,5270
1453880,pre_2_end_4,0.728057,5270
1453881,pre_2_end_3,1.39286,5270
1453882,pre_2_end_2,1.44882,5270
1453883,pre_3_end_7,2.17294,5270
1453884,pre_3_end_6,2.26126,5270
1453885,pre_3_end_5,1.92095,5270
1453886,pre_3_end_4,0.728057,5270
1453887,pre_3_end_3,1.39286,5270
1453888,pre_4_end_7,2.17294,5270
1453889,pre_4_end_6,2.26126,5270
1453890,pre_4_end_5,1.92095,5270
1453891,pre_4_end_4,0.728057,5270
1453892,pre_5_end_7,2.17294,5270
1453893,pre_5_end_6,2.26126,5270
1453894,pre_5_end_5,1.92095,5270
1453895,pre_6_end_7,2.17294,5270
1453896,pre_6_end_6,2.26126,5270
1453897,pre_7_end_7,2.17294,5270
1453898,average_path_length,4.68182,5270
1453899,redundancy,8.0,5270
1453900,traversal_steps,22.0,5270
1453901,tree_skewness,-8.0,5270
1453902,skewness,0.0,5270
1453903,density,0.0215054,5270
1453904,symbol_entropy,1.98769,5270
1453905,layer_average_derivation_entropy,0.0,5270
1453906,path_average_derivation_entropy,1.32803,5270
1453907,layer_average_symbol_entropy,0.0,5270
1453908,path_average_symbol_entropy,1.29424,5270
1453909,average_layer_symbol_skewness,-0.404478,5270
1453910,average_layer_derivation_skewness,0.848518,5270
1453911,average_layer_symbol_KL_divergence,0.0420482,5270
1453912,average_layer_derivation_KL_divergence,-9.26442e-05,5270
2279424,derivation_entropy,1.89469,8182
2279425,word_entropy,1.56071,8182
2279426,word_delay_1_mutual_entropy,1.60944,8182
2279427,word_delay_2_mutual_entropy,1.38629,8182
2279428,word_delay_3_mutual_entropy,1.09861,8182
2279429,word_delay_4_mutual_entropy,0.693147,8182
2279430,word_delay_5_mutual_entropy,0.0,8182
2279431,derivation_delay_1_mutual_entropy,1.10784,8182
2279432,derivation_delay_2_mutual_entropy,1.23966,8182
2279433,derivation_delay_3_mutual_entropy,1.01233,8182
2279434,derivation_delay_4_mutual_entropy,1.265,8182
2279435,derivation_delay_5_mutual_entropy,1.19312,8182
2279436,word_delay_1_transitional_entropy,1.60944,8182
2279437,word_delay_2_transitional_entropy,1.38629,8182
2279438,word_delay_3_transitional_entropy,1.09861,8182
2279439,word_delay_4_transitional_entropy,0.693147,8182
2279440,word_delay_5_transitional_entropy,-0.0,8182
2279441,derivation_delay_1_transitional_entropy,2.61563,8182
2279442,derivation_delay_2_transitional_entropy,2.40364,8182
2279443,derivation_delay_3_transitional_entropy,2.56495,8182
2279444,derivation_delay_4_transitional_entropy,2.36938,8182
2279445,derivation_delay_5_transitional_entropy,2.27187,8182
2279446,word_delay_1_transfer_entropy,0.0,8182
2279447,word_delay_2_transfer_entropy,0.0,8182
2279448,word_delay_3_transfer_entropy,0.0,8182
2279449,word_delay_4_transfer_entropy,0.0,8182
2279450,word_delay_5_transfer_entropy,0.0,8182
2279451,derivation_delay_1_transfer_entropy,0.805272,8182
2279452,derivation_delay_2_transfer_entropy,0.512377,8182
2279453,derivation_delay_3_transfer_entropy,0.786124,8182
2279454,derivation_delay_4_transfer_entropy,0.605536,8182
2279455,derivation_delay_5_transfer_entropy,0.66609,8182
2279456,depth_of_tree,8.0,8182
2279457,1_layer_symbol_tree__entropy,2.29178,8182
2279458,2_layer_symbol_tree__entropy,2.03416,8182
2279459,3_layer_symbol_tree__entropy,2.36075,8182
2279460,4_layer_symbol_tree__entropy,3.17892,8182
2279461,5_layer_symbol_tree__entropy,4.69348,8182
2279462,1_layer_derivation_tree__entropy,0.799693,8182
2279463,2_layer_derivation_tree__entropy,0.839066,8182
2279464,3_layer_derivation_tree__entropy,1.1178,8182
2279465,4_layer_derivation_tree__entropy,1.36951,8182
2279466,5_layer_derivation_tree__entropy,2.04875,8182
2279467,pre_2_end_5,2.19677,8182
2279468,pre_2_end_4,2.23525,8182
2279469,pre_2_end_3,1.415,8182
2279470,pre_2_end_2,0.728057,8182
2279471,pre_3_end_5,2.19677,8182
2279472,pre_3_end_4,2.23525,8182
2279473,pre_3_end_3,1.415,8182
2279474,pre_4_end_5,2.19677,8182
2279475,pre_4_end_4,2.23525,8182
2279476,pre_5_end_5,2.19677,8182
2279477,average_path_length,3.625,8182
2279478,redundancy,6.0,8182
2279479,traversal_steps,16.0,8182
2279480,tree_skewness,-6.0,8182
2279481,skewness,0.0,8182
2279482,density,0.0627451,8182
2279483,symbol_entropy,1.9928,8182
2279484,layer_average_derivation_entropy,0.0,8182
2279485,path_average_derivation_entropy,1.35074,8182
2279486,layer_average_symbol_entropy,0.0,8182
2279487,path_average_symbol_entropy,1.30388,8182
2279488,average_layer_symbol_skewness,-0.0975436,8182
2279489,average_layer_derivation_skewness,0.530328,8182
2279490,average_layer_symbol_KL_divergence,0.0337888,8182
2279491,average_layer_derivation_KL_divergence,-0.0295016,8182
2765690,derivation_entropy,1.85616,9974
2765691,word_entropy,1.69574,9974
2765692,word_delay_1_mutual_entropy,1.31078,9974
2765693,word_delay_2_mutual_entropy,1.1476,9974
2765694,word_delay_3_mutual_entropy,1.27703,9974
2765695,word_delay_4_mutual_entropy,1.56071,9974
2765696,word_delay_5_mutual_entropy,1.33218,9974
2765697,derivation_delay_1_mutual_entropy,1.0998,9974
2765698,derivation_delay_2_mutual_entropy,1.21142,9974
2765699,derivation_delay_3_mutual_entropy,0.839099,9974
2765700,derivation_delay_4_mutual_entropy,1.04569,9974
2765701,derivation_delay_5_mutual_entropy,0.718616,9974
2765702,word_delay_1_transitional_entropy,2.04319,9974
2765703,word_delay_2_transitional_entropy,2.07944,9974
2765704,word_delay_3_transitional_entropy,1.94591,9974
2765705,word_delay_4_transitional_entropy,1.79176,9974
2765706,word_delay_5_transitional_entropy,1.60944,9974
2765707,derivation_delay_1_transitional_entropy,2.55084,9974
2765708,derivation_delay_2_transitional_entropy,2.37137,9974
2765709,derivation_delay_3_transitional_entropy,2.75433,9974
2765710,derivation_delay_4_transitional_entropy,2.59279,9974
2765711,derivation_delay_5_transitional_entropy,2.8944,9974
2765712,word_delay_1_transfer_entropy,0.238693,9974
2765713,word_delay_2_transfer_entropy,0.470834,9974
2765714,word_delay_3_transfer_entropy,0.231049,9974
2765715,word_delay_4_transfer_entropy,0.277259,9974
2765716,word_delay_5_transfer_entropy,0.346574,9974
2765717,derivation_delay_1_transfer_entropy,0.585205,9974
2765718,derivation_delay_2_transfer_entropy,0.205446,9974
2765719,derivation_delay_3_transfer_entropy,0.532264,9974
2765720,derivation_delay_4_transfer_entropy,0.27483,9974
2765721,derivation_delay_5_transfer_entropy,0.599243,9974
2765722,depth_of_tree,12.0,9974
2765723,1_layer_symbol_tree__entropy,2.02032,9974
2765724,2_layer_symbol_tree__entropy,1.7723,9974
2765725,3_layer_symbol_tree__entropy,1.75269,9974
2765726,4_layer_symbol_tree__entropy,1.77628,9974
2765727,5_layer_symbol_tree__entropy,1.90519,9974
2765728,1_layer_derivation_tree__entropy,0.701998,9974
2765729,2_layer_derivation_tree__entropy,0.679588,9974
2765730,3_layer_derivation_tree__entropy,0.694384,9974
2765731,4_layer_derivation_tree__entropy,0.700346,9974
2765732,5_layer_derivation_tree__entropy,0.750225,9974
2765733,pre_2_end_9,1.415,9974
2765734,pre_2_end_8,1.54929,9974
2765735,pre_2_end_7,2.19677,9974
2765736,pre_2_end_6,2.23508,9974
2765737,pre_2_end_5,0.693789,9974
2765738,pre_2_end_4,1.53457,9974
2765739,pre_2_end_3,2.17294,9974
2765740,pre_2_end_2,2.19677,9974
2765741,pre_3_end_9,1.415,9974
2765742,pre_3_end_8,1.54929,9974
2765743,pre_3_end_7,2.19677,9974
2765744,pre_3_end_6,2.23508,9974
2765745,pre_3_end_5,0.693789,9974
2765746,pre_3_end_4,1.53457,9974
2765747,pre_3_end_3,2.17294,9974
2765748,pre_4_end_9,1.415,9974
2765749,pre_4_end_8,1.54929,9974
2765750,pre_4_end_7,2.19677,9974
2765751,pre_4_end_6,2.23508,9974
2765752,pre_4_end_5,0.693789,9974
2765753,pre_4_end_4,1.53457,9974
2765754,pre_5_end_9,1.415,9974
2765755,pre_5_end_8,1.54929,9974
2765756,pre_5_end_7,2.19677,9974
2765757,pre_5_end_6,2.23508,9974
2765758,pre_5_end_5,0.693789,9974
2765759,pre_6_end_9,1.415,9974
2765760,pre_6_end_8,1.54929,9974
2765761,pre_6_end_7,2.19677,9974
2765762,pre_6_end_6,2.23508,9974
2765763,pre_7_end_9,1.415,9974
2765764,pre_7_end_8,1.54929,9974
2765765,pre_7_end_7,2.19677,9974
2765766,pre_8_end_9,1.415,9974
